Prompt,Tags
"close up profile, Futuristic cybernetic Mayan Warrior in full Headdress, in the style of Russ Mills, Aaron Horkey, rhads, artgerm, ivan laliashvili, Jean-Baptiste Monge, atompunk, Ink Dropped in water, torn paper, bold strokes oil paint, feathers, beads, pulp Manga illustration, cinematic lighting",sci-fi;fantasy;portrait;concept art
"Beautiful female cyborg standing on a space ship with long flowing hair glowing eyes filagree armor cyberpunk Bladerunner android style of Alyssa Monks highly detailed",sci-fi;cyberpunk;portrait
"Beautiful opal queen, intricate details, rich colors, beautiful lighting, gorgeous, flowerpunk atompunk, in the style of Gediminas Pranckevicius and Pino Daeni and Moebius and Artgerm and Esao Andrews, jewels, spikes, mohawk, moss, branches, Flowers, Photorealistic, Pulp Comic Illustration, Film Lighting, Rake Lighting",fantasy;portrait;concept art
"maximalist painting of emma watson",portrait;maximalist
"woman walking on pantone water, lake with tranquil lotus flowers, studio ghibli style",anime;fantasy;ghibli
"digital painting concept art of alina as a cowboy, masterpiece, ultra detailed, ultra realistic, by enki bilal",western;concept art;portrait
"a cute brunette girl wearing pink headphones, wearing a color blocking hoodie, kawaii, whimsical, happy, big anime Pixar eyes, Nicoletta Ceccoli, Tim Burton, Lisa Frank",anime;cute;portrait
"an ornate biomechanical robot, by Shaun tan and kenny Scharf",sci-fi;robot;concept art
"Beautiful Ebony Cyberpunk Demon Princess, Portrait, Profile, Yoji Shinkawa style, Flowing hair, bold brush strokes, concept art, dramatic lighting, Orphism, psychedelic, Red Black and White, stylize, intricate detail, Alfredo Rodriguez, Jeremy Mann, Aaron Griffin, Tom Bagshaw",cyberpunk;fantasy;portrait;concept art
"Beautiful female thief of the thieves' guild wearing gilded assassin robe, exposed thighs and exposed stomach, intricate details, warm colors, mid-close portrait, anatomically perfect, beautiful symmetric face, natural lighting, cinematic by Artgerm and WLOP and Ross Tram and sakimichan and Alphonse Mucha",fantasy;portrait;concept art
"Intricate detailed, hyper realistic robotic head from Transformers, Bioshock and Blade Runner, filled with glowing light. Bolts of lightning. Sci-fi cyborg. Cinematic lighting. 85mm, f1.4, V-ray, octane render, unreal engine, ultra sharp, 8k, trending on CGSociety, caustics",sci-fi;robot;concept art
"retrato de chica, hecho de trozos de papel de periódico + [art by Karol Bak + WLOP + Ray Caesar] + [beautifully detailed, perfect shading, highly detailed, Epic composition, white background, on white, margins, top-margin, bottom-margin, left-margin, right-margin, bold strokes oil paint, ink dropped in water, torn paper, tone mapping, {r_mada-book}]",portrait;mixed media;concept art
"portrait of henry cavill as james bond, casino, key art, sprinting, palm trees, highly detailed, digital painting, artstation, concept art, cinematic lighting, sharp focus, illustration, by gaston bussiere alphonse mucha",movie;portrait;concept art
"graffiti of extremely cute small robot on concrete wall, how is it so cute 😭🥺",graffiti;robot;cute
"Goddess of Agriculture, looks exactly like Elizabeth Hurley portrait, wearing green armor with lightning, rain, branches, leaves, fruits, flowers, smoke, gods, jesper ejsing, james jean, justin gerard, tomasz alen kopera, cgsociety, fenghua zhong, makoto shinkai, highly detailed, rim light, artistic, looks exactly like Elizabeth Hurley, cinematic lighting, in the style of Gediminas Pranckevicius and Pino Daeni and Moebius and Artgerm and Esao Andrews, very coherent, surreal, 8k illustration, by Charlie Bowater Art, Karol Bak, Mark Brooks",fantasy;portrait;concept art
"infrared photography of exhausted olga fonda in dynamic pose at valley + greg rutkowski, billowing hair, face, beautifully lit, studio lighting, saturated colors, intricate details, perfect features, dramatic, hdr",portrait;infrared;concept art
"beautiful and extremely detailed matryoshka doll virgin mary by mark ryden and nicoletta ceccoli",fantasy;concept art;religious
"an abandoned city of the gods floating in the sky, surrounded by clouds and big waterfalls, statues of antique gods,epic, octane render, 8K, unreal engine 5, ray tracing, highly detailed, Cinematic,",fantasy;concept art;landscape
"A gigantic battle bot vaguely in the shape of hello kitty. Cute but deadly. White and pink. in a cyberpunk city street. Art by Dan LuVisi",sci-fi;robot;cyberpunk;cute
"beautiful woman wearing an elaborate white rabbit mask that covers her eyes and nose, wavy hair, beautiful eyes, art by [Bastien Lecouffe-Deharme + Élisabeth Sonrel + Artgerm + WLOP + Ilya Kuvshinov + RHADS + Loish + Rossdraws]",fantasy;portrait;concept art
"\"Kakashi Sensei, one eyed covered with facemask\" head and shoulders portrait, 8k resolution concept art portrait by Greg Rutkowski, Artgerm, WLOP, Alphonse Mucha dynamic lighting hyperdetailed intricately detailed Splash art trending on Artstation triadic colors Unreal Engine 5 volumetric lighting,",anime;portrait;concept art
"Cascadia forest, mossy steps ascending to old bronze doors, very detailed, ultra realistic, 8k, hd, cinematic, dramatic lighting,",fantasy;landscape;concept art
"Close up portrait, A cybertank Engineer with a cybernetic eye, tools and workshop growing out of his head, rain, dripping oil, in the style of Gediminas Pranckevicius, Tim Razumovsky, Moebius, Russ Mills, Carne Griffiths, torn paper collage, splattered oil paint, cyberpunk, atompunk, engineerpunk, volumetric dust, pulp illustration, photorealism, raking sunlight, cinematic lighting",sci-fi;cyberpunk;portrait;concept art
"fantasy art, style of tom bagshaw and karol bak and h.r. giger, Barbara palvin, beautiful sorceress, glamour model, intricate ivory filigree breastplate, Muscular, bold bright colorful makeup, colorful tattoo covered body, rococopunk, boroquepunk, fashion punk, flower-punk",fantasy;portrait;fashion;concept art
"Akira, unreal engine, ambiant cyberpunk city background, character design, strong male biker with long blond hair and beard on is futuristic motorbike, in a cyberpunk and apocalyptic city, darkest dungeon styleBeautiful black hair Woman , close up profile, A futuristic gothicpunk, in the style of Russ Mills, Aaron Horkey, rhads, artgerm, ivan laliashvili, Jean-Baptiste Monge, Ink Dropped in water, torn paper, bold strokes oil paint, cinematic lighting",cyberpunk;sci-fi;portrait;concept art
"Beautiful pure black background photography, stunning African voodoo priestess with Rembrandt lighting, black lipstick, white red face paint, dark skin, smooth, intricate detail, by testino",portrait;fantasy;concept art
"Beautiful Ebony Cyberpunk Demon Princess, Yoji Shinkawa style, Flowing hair, bold brush strokes, concept art, dramatic lighting, Orphism, psychedelic, Blue violet Black and White, stylize, intricate detail, Alfredo Rodriguez, Jeremy Mann, Aaron Griffin, Tom Bagshaw",cyberpunk;fantasy;portrait;concept art
"dramatic portrait of a golden stormtrooper in gold armor, gilded gold, shiny, smooth, hyperdetailed, hyperrealistic, extremely intricate and ornate, futuristic alien guild hall interior background, cinematic, epic, star wars concept art, volumetric lighting, octane render",sci-fi;movie;portrait;concept art
"tiny cute adorable cyborg cat with wire-whiskers and cute paws, sitting in a space station with cyberpunk background, Pixar style, octane render",sci-fi;cyberpunk;cute;pixar
"close-up portrait, upset lord's muse, very expressive angry face, gild and teal, heavy brush stroke, hyperdetailed, Yoji Shinkawa style, gilded light, surreal concept art, intricate, Aaron Griffin, WLOP, Junji Ito",fantasy;portrait;concept art
"Beautiful Queen of Mars, Yoji Shinkawa style, Flowing hair, bold brush strokes, concept art, dramatic lighting, Orphism, psychedelic, Red Scarlet Orange Black and White, intricate detail, Tom Bagshaw, Jojos bizarre adventure, anime, Luis Royo",sci-fi;fantasy;portrait;concept art;anime
"fantasy art, badass liuyifei, beautiful sorceress, intricate (white ivory filigree) breastplate armour, Muscular, colorful tattoo covered body, rococopunk, baroquepunk, fashion punk, style of tom bagshaw and karol bak",fantasy;portrait;fashion;concept art
"a 👩, 😜, 🤳, ✌👸😍😜  ,💕,   ✨,🤳,🧥 ",emoji
"Spiderpunk [Tinker bell as a litte diva with long brown hair], Cinematic 8k HDR, Anime Eyes, artwork by Ilya Kuvshinov",fantasy;anime;portrait;concept art
"A beautiful geisha-punk face by Noriyoshi Ohrai and Tank Girl",cyberpunk;portrait;concept art
"flirty male muscular deadpool, wearing a tutu, pointe shoes posing, feminin, girly, cute, flirty, ballet dancer guild",superhero;humor;ballet;concept art
"Beautiful Ethereal Portrait of a flower girl, in the style of Anna Dittman, intricate detail, beautiful lighting, flowers, dissolving, liquid, radial composition, translucent, transparent, stylized",fantasy;portrait;concept art
"ghost, ukrainian girl, war, fire, blue, yellow",conceptual;war;portrait
"A beautiul portrait of a cyberpunk ronin samurai, sekiro, intense stare, full face cover dieselpunk mask, atompunk goggles, retro-futuristic brown leather jacket, ethereal, galaxy, cosmic colors, in the style of artgerm, moebius, deathburger, John Cassaday, Wayne Barlowe and greg rutkowski, trending on artstation, steampunk, splash of bronze flakes, volumetric nebula dust particles, blue galactic atmosphere, ultra realistic digital art, digital painting, cinematic, high detailed, intricate, cyberpunk lighting, photo realistic, symmertical, concept art, smooth, sharp focus, illustration, Bokeh blur, unreal engine 5, octane render, 8K, HDR",cyberpunk;sci-fi;portrait;concept art
"alina as wonderwoman in a post-apocalyptic factory overgrown with plants, by guweiz",superhero;post-apocalyptic;portrait;concept art
"Beautiful Woman appearing from (colorful liquid oil paint:1.3), splashing paint, bold paint strokes, cinematic lighting, photo realistic, by karol bak",portrait;abstract;concept art
"realistic detailed semirealism beautiful gorgeous cute blackpink lalisa manoban wearing a summer dress",portrait;fashion;k-pop
"lofi girl studying in a cafe, listening to music, (wearing pink headphones), smooth, masterpiece, trending on artstation, by enki bilal",lifestyle;portrait;concept art
"pixar style cute, adorable, tiny, anime chibi emma watson as hermione, wearing hogwarts uniform, in front of hogwarts castle,  at night, big anime eyes, beautiful, volumetric lighting, octane render",anime;pixar;movie;cute
"robot with exposed hydraulic lines in a junkyard, robot body, by enki, masterpiece, high quality, amazing background by ghibli, wide gorgeous eyes, smooth cell shading",sci-fi;robot;anime;concept art
"highly detailed, highly accurate, masterpiece, best quality, pixar style cute, adorable, tiny, anime chibi emma watson as hermione, wearing hogwarts uniform, in front of hogwarts castle, at night, big anime eyes",anime;pixar;movie;cute
"japanese gravure model, geisha-punk face, tankgirl, dieselpunk, covered in black straps, eyes, face, mouth, hasselblad, masterpiece photo by enki and karol",cyberpunk;portrait;fashion;concept art
"close-up portrait, suggestive, unbuttoned, fantasy art, style of tom bagshaw and karol bak and h.r. giger, Barbara palvin, beautiful sorceress, glamour model, intricate ivory filigree breastplate, Muscular, bold bright colorful makeup, colorful tattoo covered body, rococopunk, baroque-punk, fashion punk, flower-punk",fantasy;portrait;fashion;concept art
"a group of chinese supermodels wearing bikinis, masterpiece photo, canon 5d mkiii, 24mm f4",fashion;swimwear;editorial
"photo of a tiny cute kitten plush stuffed toy, as an astronaut on the moon, pixar style eyes, pokemon anime style, octane render, fantasy, volumetric light, soft cinematic lighting, tinycore, cutecore, realistic, 8 k",cute;pixar;anime;sci-fi
"karol ghibli style, julia alina emma wearing alien afro-futuristic (cyborg armor) on a pantone alien planet, by enki wlop testino karol",sci-fi;anime;portrait;concept art
"Portrait of beautiful sexy fashion blond girl. Model with bright makeup and curly hairstyle in retro style hat sitting in old car. Attractive woman  rides around the night city",fashion;portrait;retro
"a close up of a person with horns on their head, a character portrait, by Kieran Yanner, Artstation contest winner, sunset glow, medium portrait of a goblin, teen elf, skinny male fantasy alchemist",fantasy;portrait;concept art
"A surrealist portrait of a mermaid with colorful, flowing hair and intricate tattoos, surrounded by underwater coral and sea creatures. The portrait is inspired by the work of Salvador Dali and Zdzisław Beksiński.",fantasy;surrealism;portrait;concept art
"A photorealistic rendering of a futuristic cityscape, featuring towering skyscrapers, flying cars, and neon lights. The image is set at sunset, with a vibrant orange and pink sky in the background.",sci-fi;cityscape;concept art
"A fantastical landscape of a rolling green valley, dotted with magical forests and enchanted lakes. In the distance, a castle sits atop a hill, surrounded by clouds and mist. The scene is inspired by the work of Studio Ghibli.",fantasy;landscape;anime
"A digital painting of a warrior princess, dressed in armor and wielding a glowing sword. The warrior is depicted in a dramatic pose, with swirling energy and sparks emanating from her sword. The image is inspired by the art style of Frank Frazetta.",fantasy;portrait;concept art
"A close-up photograph of a majestic eagle, with piercing eyes and sharp talons. The eagle is perched on a branch, surrounded by a beautiful natural landscape. The photograph is taken with a shallow depth of field, to focus on the details of the bird's feathers.",nature;wildlife;photography
"A stylized illustration of a robot in a futuristic cyberpunk world. The robot is heavily modified with mechanical limbs and glowing cybernetic implants. The image is inspired by the art style of Katsuhiro Otomo and Hajime Sorayama.",sci-fi;cyberpunk;robot;concept art
"A cartoonish illustration of a group of animal friends, including a fox, a rabbit, and a bear, having a picnic in a sunny meadow. The image is inspired by the art style of Pixar and Disney.",cartoon;cute;pixar
"A realistic 3D model of a dragon, with detailed scales and wings, set against a fiery, molten landscape. The dragon is rendered in a highly detailed and realistic style, inspired by the art of Justin Sweet and Donato Giancola.",fantasy;3D;concept art
"A dark and moody portrait of a gothic vampire, with pale skin, long black hair, and piercing red eyes. The vampire is depicted in a shadowy, candlelit setting, surrounded by cobwebs and bats. The image is inspired by the art of Brom and John Jude Palencar.",fantasy;gothic;portrait;concept art
"Expressive bronze sculpture bust of ballet dancer in an elegant pose. Fine details capturing texture of hair and costume. Neoclassical form reminiscent of Degas.",sculpture;ballet;fine art
"Photorealistic 3D interior rendering of mid century modern living room. Detailed materials and indirect lighting like Alex Hogrefe architectural visualizations.",interior design;3D;photorealistic
"Dynamic music album cover illustration featuring a guitar-playing rocker. Loose brushwork and drips reminiscent of psychedelic 60's art like Wes Wilson's concert posters.",music;album cover;psychedelic
"Surreal photo collage of a baby dragon curled up asleep inside an ornate birdcage, with gears and candles floating around it.",fantasy;surrealism;collage
"Watercolor painting of a colorful armored samurai warrior standing in a field of flowers. Gentle lighting and soft color gradients.",fantasy;watercolor;samurai
"A colorful childlike dragon splashing playfully in a forest pond surrounded by tall pines, sunbeams streaming down. Peaceful nature scene reminiscent of beginnings in The NeverEnding Story.",fantasy;nature;cute
"A snowy owl carefully protecting her fledglings in a nest lined with soft downy feathers. Photorealistic intimate nature scene.",nature;wildlife;photorealistic
"The silhouette of a cloaked figure standing alone on an alien planet, facing two huge moons rising over jagged mountain peaks. Cinematic landscape vista, inspired by Philippe Bouchet.",sci-fi;landscape;concept art
"A wise bearded wizard conjuring a glowing spell, smoke and sparks surround his hands, dramatic lighting, fantasy style.",fantasy;wizard;concept art
"Oil painting of an astronaut riding a unicorn over a rainbow bridge into a fantasy city in the clouds. Vibrant celestial colors, intricate city details, mystical lighting.",fantasy;sci-fi;surrealism
"Digital vector poster of a UFO beaming up a cow into a vivid starry night sky. Simple geometric shapes with limited color palette in a retro style like Ted CoConis illustrations.",sci-fi;retro;poster
"A curious mermaid peering from behind a coral reef at a majestic underwater shipwreck, schools of fish swimming by, light rays piercing the ocean depths.",fantasy;underwater;concept art
"A wise old alien cryptographer decoding an ancient holographic projection of an extinct civilization's history. Strange symbols and technologies fill the room. Moebius-inspired.",sci-fi;alien;concept art
"Pop surrealist oil painting of a mystic fortune teller robot reading tarot cards within a dimly lit room filled with candles, mystic artifacts. Highly textured brushwork in the style of Michael Page.",sci-fi;surrealism;robot;concept art
"Graphite illustration of a fierce archer heroine aiming her glowing bow, clad in a forest green tunic and leggings, surrounded by wispy clouds atop a mountain peak at sunset.",fantasy;illustration;concept art
"A cheerful dwarf blacksmith hammering a sword with sparks flying. The smithy is carved out of a rocky cavern with carved pillars, lit by molten gold light. Highly detailed textures and surfaces, by Donato Giancola.",fantasy;dwarf;concept art
"Pixel art sprite animation of a cute witch with a tall black hat, wearing a purple dress and striped stockings, waving a wand that's shooting out bouncing stars.",pixel art;fantasy;cute
"A rugged explorer on a distant gas giant moon colony wearing a heavy mechanical pressurized suit, emerging from an airlock onto the alien surface.",sci-fi;space;concept art
"Cinematic grayscale portrait of an old wizard casting a spell, with electric energy flowing through his hands. Dynamic swirling cloth, smoke, sparks. High contrast lighting.",fantasy;wizard;portrait;concept art
"Illustration of a wizard camping in a mystical forest under the stars, roasting marshmallows over a magic blue fire.",fantasy;wizard;concept art
"Anime-style mecha action scene of a pilot battling in a blue and white robot suit against a giant monster emerging from the ocean. Dramatic angle, energy beams, water splashing.",anime;mecha;action
"A group of rag-tag rebels sneak through the corridors of an Imperial spaceship, rays of light cutting through the darkness. Inspired by Star Wars concept art by Ralph McQuarrie.",sci-fi;movie;concept art
"Fantasy creature illustration of a wise wizard with a long white beard meditating with magic sparking from his staff. Mystical lights glowing in the cave.",fantasy;wizard;concept art
"Photorealistic portrait of a tribal orc warrior holding a fiery sword. Intense expression, scar details, braided hair beads. Dramatic side lighting in the fantasy style of Peter Mohrbacher.",fantasy;portrait;concept art
"Cute anime character expressions sheet of a romantic couple on a Ferris wheel date at night, blushing. Soft tender moment.",anime;cute;romance
"A scene inside an alien cave glowing with bioluminescent lifeforms and crystalline growths. An astrobiologist takes samples in a bulky hazard suit, laser tools in hand. James Cameron worldbuilding aesthetic.",sci-fi;alien;concept art
"A friendly weathered spaceship mechanic with cybernetic augments hard at work jury-rigging repairs in a hangar bay, blowtorch in hand, sparks flying. Retro working class sci-fi vibe.",sci-fi;cyberpunk;concept art
"Cinematic digital matte painting of a hooded Jedi wielding a lightsaber atop a rocky cliff on an alien planet. Atmospheric fog, flying avians, epic perspective. Rendered in the expansive style of Dylan Cole.",sci-fi;movie;concept art
"Dreamy watercolor painting of a girl curled up reading a book beside a rainy window as the rain pours down outside.",watercolor;portrait;atmospheric
"A mushroom village built around the trunk of a colossal ancient tree, with winding stairs, bridges, and towers. Glowing spores float in the air.Detailed exterior, populated, in the style of Studio Ghibli.",fantasy;anime;concept art
"Photorealistic portrait of a female astronaut floating in a spacesuit above Earth, with the Milky Way galaxy in the background. Detailed suit textures, dynamic backlit helmet visor.",sci-fi;space;portrait
"A close-up of an owl alchemist with spectacles in his study, furiously scribbling formulas while surrounded by bubbling vials, herbs, coins, and artifacts. Intricately detailed still life, by Ivan Laliashvili.",fantasy;animal;concept art
"A close-up of an old leprechaun sailor with a white beard, holding a lantern. He wears an oilskin coat, souwester hat, has a weathered face with keen eyes. Portrait study reminiscent of Rembrandt.",fantasy;portrait;concept art
"A Starship Bridge interior view showing crewmembers at holographic controls, tracking a mysterious cosmic anomaly on the main viewscreen. Inspired by Star Trek: The Motion Picture.",sci-fi;movie;concept art
"A cute fluffy hamster sitting in a miniature cutting edge modern home, detailed textures, Pixar animation style.",cute;pixar;animal
"A close-up profile of a pilot in a sleek helmet with augmented reality tech glowing across the visor as ship systems data streams past. Inspired by TRON and Daft Punk.",sci-fi;movie;concept art
"Cinematic background of a courageous knight wearing shining armor and helmet decorated with wings, wielding a feathered lance and shield while riding a white Pegasus over clouds.",fantasy;concept art
"Photorealistic portrait of an African priestess with glowing hieroglyphs surrounding her. She wears an ankh necklace and intricately braided hair decorated with gold beads. Lit with radiant rim lighting resembling the mystical style of Alex Ruiz.",fantasy;portrait;concept art
"portrait photo of a beautiful young african woman, with braided hair, close up, perfecteyes, soft studio lighting, Hasselblad, Voigtländer 50mm lens, in style of Martin Schoeller",portrait;photography
"Anime character illustration of a cheerful karate girl wearing a white gi and headband, jumping kick pose. Expressive manga-style linework.",anime;action;sports
"An astronomer studying a holographic map of nearby exoplanets, with detailed topological projections of alien landscapes and atmospheres. Explorer's Club study room.",sci-fi;space;concept art
"Whimsical digital cartoon scene of giraffes having a tea party in fancy hats and dresses in a flower garden. Cute style.",cartoon;cute;whimsical
"A wise old tortoise surrounded by smiling children listening to his stories at the zoo on a sunny day. Heartwarming scene.",animal;children;heartwarming
"Photorealistic still life of a bowl of lemons and limes with water droplets on a sunny windowsill. Soft natural lighting.",still life;photorealistic
"Photorealistic still life composition of colorful macaroons neatly arranged on a marble pedestal against a soft blurred background.",still life;food;photorealistic
"An elf druid standing in a lush forest glen, arms raised, commanding vines and roots to grow and entangle a ruined stone statue overgrown with moss. Light streams through the canopy. Painted in the fantasy art style of Justin Gerard.",fantasy;concept art
"A cyberpunk hacker in a dark room illuminated only by computer screens and digital projections, coding on an elaborate custom rig with exposed components. Atmospheric high-tech lighting.",cyberpunk;sci-fi;concept art
"A quaint hobbit hole exterior with a round green door, stone chimney, flowers and vines growing around it. Detailed, picturesque landscape foreground, leading to hills in background.",fantasy;landscape;concept art
"Cinematic digital matte painting vista of a knight standing proudly atop a hillside meadow overlooking a fantasy kingdom kingdom at sunset. Golden light cascades over trees and rivers. The female knight has a helmet with feathered plume under her arm, wearing silver engraved armor with a red tabard. Epic sweeping perspective.",fantasy;landscape;concept art
"Chibi character design of a cute astronaut with twintails, wearing a white and pink spacesuit, bouncing with stars in her eyes exploring alien planets.",anime;cute;sci-fi;chibi
"An elaborately dressed elven monk practices martial arts in a lush courtyard within a fantasy elven tree city at dawn.",fantasy;concept art
"Steampunk rendition of Keanu Reeves as an intricate robot statue, set in a dystopian cityscape. Vibrant colors, beautiful rim lighting, and intricate detailing, in the styles of Tomasz Alen Kopera and Fenghua Zhong. Render in 8K with Octane and ray tracing.",steampunk;sci-fi;portrait;concept art
"Whimsical anime scene of a fox spirit in traditional garb walking through a bamboo forest in autumn. Soft warm lighting, detailed fur textures.",anime;fantasy;concept art
"Lush digital illustration of a fairy village nestled within a mossy forest glen, magical glow emitting from mushroom homes at night. Bioluminescent plants, fireflies, moonlight.",fantasy;concept art
"Anime illustration of a magical girl, dressed in an elaborate costume with ribbons and frills, surrounded by sparkling energy as she flies over a futuristic cityscape. Long flowy pink hair, determined expression, raising her wand to cast a spell under the light of a full moon. Detailed background, gradients, glow effects.",anime;magical girl;sci-fi
"Stylized character design of a cheerful artificer wearing steampunk goggles and a toolbelt, happily tinkering away on a mechanical dragon in her workshop. She has bright eyes, curly brown hair in a bun, oil smudges on her cheeks, wearing a puffy blouse under blue overalls. Vibrant color palette.",steampunk;fantasy;concept art
"An astronaut riding a galloping horse across the moon surface leaving trails in the dusty lunar soil under starry skies.",sci-fi;surrealism;space
"A pair of Nike running shoes with neon laces set against a dark asphalt background. Dramatic side lighting reveals textures and dimensions. Atmospheric urban environment.",product;sports;photography
"Vintage travel poster advertising the Orient Express train journey. Featuring a stylized art nouveau steam engine against landmark destinations. Rich colors in the graphic style of Roger Broders.",vintage;travel;poster
"A fantasy Masquerade Ball scene with masked revelers waltzing in an opulent candlelit ballroom decorated with alien flora,Floating jellyfish illuminate the hall.. Otherworldly atmosphere.",fantasy;sci-fi;concept art
"A lush jungle planet with two moons in the pink sky. In the foreground, an explorer in a spacesuit examines glowing fungal specimens thriving on a fallen alien megalith. Pulp science fiction cover style.",sci-fi;space;concept art
"Oil painting of a magical girl with long flowing hair, casting a glowing spell, standing atop a hill at sunset. Rendered in a detailed anime art style.",anime;magical girl;concept art
